DEPLETION_PERIOD,BRANDS,LABELS,PRICING_STRATEGIES,SPIRIT_TYPES,ULTIMATE_DISTRIBUTORS,MARKETS,DIVISIONS,ACTUAL_VOLUME,Is_Holiday
2023-01-01,jc especial,jce silver,jose cuervo especial silver,tequila,rndc,florida,rndc east,9251.678437,0
2023-01-01,jc especial,jce silver,jose cuervo especial silver,tequila,sgws,illinois,sgws-jb,12706.277449,0
2023-01-01,jc especial,jce silver,jose cuervo especial silver,tequila,eder bros,connecticut,independent,1580.528075,0
2023-01-01,jc especial,jce silver,jose cuervo especial silver,tequila,allan s. goodman,connecticut,independent,983.105733,0
2023-01-01,jc especial,jce silver,jose cuervo especial silver,tequila,brescome barton,connecticut,independent,511.252879,0
2023-01-01,jc especial,jce gold,jose cuervo especial gold,tequila,rndc,florida,rndc east,10102.80897,0
2023-01-01,jc especial,jce gold,jose cuervo especial gold,tequila,sgws,illinois,sgws-jb,9292.535044,0
2023-01-01,jc especial,jce gold,jose cuervo especial gold,tequila,eder bros,connecticut,independent,1084.216921,0
2023-01-01,jc especial,jce gold,jose cuervo especial gold,tequila,allan s. goodman,connecticut,independent,498.105675,0
2023-01-01,jc especial,jce gold,jose cuervo especial gold,tequila,brescome barton,connecticut,independent,269.200075,0
2023-01-01,jc especial,jce cinge,jose cuervo especial cinge,tequila,brescome barton,connecticut,independent,0.0,0
2023-01-01,jc especial,jce cinge,jose cuervo especial cinge,tequila,eder bros,connecticut,independent,0.0,0
2023-01-01,jc especial,jce cinge,jose cuervo especial cinge,tequila,sgws,illinois,sgws-jb,0.0,0
2023-01-01,jc especial,jce cinge,jose cuervo especial cinge,tequila,rndc,florida,rndc east,0.0,0
2023-01-01,1800 tequila,1800 blanco,1800 tequila blanco,tequila,rndc,florida,rndc east,10480.592059,0
2023-01-01,1800 tequila,1800 blanco,1800 tequila blanco,tequila,sgws,illinois,sgws-jb,3879.28564,0
2023-01-01,1800 tequila,1800 blanco,1800 tequila blanco,tequila,brescome barton,connecticut,independent,125.283347,0
2023-01-01,1800 tequila,1800 blanco,1800 tequila blanco,tequila,eder bros,connecticut,independent,78.655578,0
2023-01-01,1800 tequila,1800 blanco,1800 tequila blanco,tequila,allan s. goodman,connecticut,independent,67.91114,0
2023-01-01,1800 tequila,1800 reposado,1800 tequila reposado,tequila,rndc,florida,rndc east,3307.877812,0
2023-01-01,1800 tequila,1800 reposado,1800 tequila reposado,tequila,sgws,illinois,sgws-jb,2117.027496,0
2023-01-01,1800 tequila,1800 reposado,1800 tequila reposado,tequila,brescome barton,connecticut,independent,75.725041,0
2023-01-01,1800 tequila,1800 reposado,1800 tequila reposado,tequila,eder bros,connecticut,independent,20.027771,0
2023-01-01,1800 tequila,1800 reposado,1800 tequila reposado,tequila,allan s. goodman,connecticut,independent,28.227795,0
