DEPLETION_PERIOD,BRANDS,LABELS,PRICING_STRATEGIES,SPIRIT_TYPES,ULTIMATE_DISTRIBUTORS,MARKETS,DIVISIONS,FORECASTED_VOLUME
2025-01-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,0.0068649351596832275
2025-02-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,0.006872563622891903
2025-03-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,0.006872835569083691
2025-04-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,0.006872558034956455
2025-05-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,0.00687227351590991
2025-06-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,0.006872016936540604
2025-07-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,0.006871644873172045
2025-08-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,0.006871297024190426
2025-09-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,0.00687070470303297
2025-10-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,0.006870071869343519
2025-11-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,0.006870002020150423
2025-12-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,0.006869868375360966
2026-01-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,0.006869279779493809
2026-02-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,0.006869278848171234
2026-03-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,0.0068692793138325214
2026-04-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,0.0068692793138325214
2026-05-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,0.0068692793138325214
2026-06-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,0.006869279779493809
2026-07-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,0.006869279779493809
2026-08-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,0.006869279779493809
2026-09-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,0.006869280245155096
2026-10-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,0.006869280710816383
2026-11-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,0.006869280245155096
2026-12-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,0.006869280245155096
2025-01-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,brescome barton,connecticut,independent,0.007878151722252369
2025-02-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,brescome barton,connecticut,independent,0.007878126576542854
2025-03-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,brescome barton,connecticut,independent,0.007878429256379604
2025-04-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,brescome barton,connecticut,independent,0.007878237403929234
2025-05-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,brescome barton,connecticut,independent,0.007878003641963005
2025-06-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,brescome barton,connecticut,independent,0.00787808932363987
2025-07-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,brescome barton,connecticut,independent,0.007878148928284645
2025-08-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,brescome barton,connecticut,independent,0.007878117263317108
2025-09-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,brescome barton,connecticut,independent,0.00787817221134901
2025-10-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,brescome barton,connecticut,independent,0.00787780899554491
2025-11-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,brescome barton,connecticut,independent,0.00787782296538353
