ds,yhat,trend,yearly
2023-01-01,133954.6698810098,-4411.862197834627,-113984.186328446
2023-02-01,106176.62873304955,-7482.500978581602,197819.85431159165
2023-03-01,147276.6810087541,-10256.08937942103,-73461.30461176063
2023-04-01,152007.67650321248,-13326.863700194084,56057.65390504566
2023-05-01,161971.77176559228,-16296.959841365682,523788.3538801101
2023-06-01,173823.39752665334,-19366.00773468396,-346459.71858273185
2023-07-01,123235.31942538428,-22336.23986372541,297508.35975809133
2023-08-01,139625.90742439122,-25405.62497212714,278892.752908755
2023-09-01,118421.80852396894,-28475.683772745626,-538109.997065588
2023-10-01,148206.88805114492,-31446.541556635475,39560.328366216454
2023-11-01,150034.21787167387,-34516.81572144326,202243.42688272923
2023-12-01,158597.654803816,-37488.17464319525,-372858.92364715855
2024-01-01,126043.3744718384,-40558.7618067515,-133307.04868163634
2024-02-01,116814.71181139845,-43631.83197718288,190261.38301166694
2024-03-01,151060.27850006756,-46506.61647125123,-110114.2951470913
2024-04-01,138055.4688277777,-49579.8593845595,12046.98377411495
2024-05-01,176518.27525877918,-52555.093090880415,594723.0958330712
2024-06-01,170229.40468287817,-55629.289312289635,-362397.77839606494
2024-07-01,111771.27471455591,-58604.41280419997,260882.12504923073
2024-08-01,141687.15986345237,-61678.75073869785,326934.2410996377
2024-09-01,110887.69045381635,-64753.08867319572,-526913.5047563378
2024-10-01,135460.5717317396,-67728.25441625819,-11591.745277634549
2024-11-01,141064.53483001277,-70802.59235075608,224271.66846233731
2024-12-01,108907.91068877674,-73777.75809381854,-414373.5787840531
2025-01-01,230270.135071764,-76852.09602831642,-75996.71213350934
2025-02-01,127927.61873679109,-79926.43396281429,213706.50772952355
2025-03-01,-111118.02585685346,-82703.25532300593,-98235.57850171733
2025-04-01,-373876.46844322066,-85777.59325750382,27064.39453042127
2025-05-01,-120785.25584538755,-88752.75900056628,571477.612787979
2025-06-01,-352035.7737776676,-91827.09693506417,-357713.5350806393
2025-07-01,-149728.14307187506,-94802.26267812664,273440.93928963423
2025-08-01,-400965.16610637325,-97876.60061262453,311231.3791553622
2025-09-01,-282654.4372952846,-100950.9385471224,-531318.5467874655
2025-10-01,-374393.12615548715,-103926.10429018487,5504.020862879855
2025-11-01,-255125.0992922224,-107000.44222468276,217219.1200575693
2025-12-01,-404119.0064894108,-109975.6079677452,-400451.03193490783
2026-01-01,-177745.0564789121,-113049.94590224308,-94874.81796928363
2026-02-01,-7550.61912588097,-116124.28383674099,205639.03993473513
2026-03-01,872940.7079092955,-118901.1051969326,-86012.42502349611
2026-04-01,-6579.389971064564,-121975.4431314305,41740.97110694342
2026-05-01,827397.3728630117,-124950.60887449296,547824.6612073885
2026-06-01,5897.787191980053,-128024.94680899085,-352400.4760088328
2026-07-01,834320.8918941194,-131000.1125520533,285654.3939636535
2026-08-01,-64365.40287096589,-134074.45048655118,295210.6404977502
2026-09-01,-560446.8322064942,-137148.78842104907,-535052.7096746871
2026-10-01,-4714.543096318928,-140123.95416411152,22562.10202743072
2026-11-01,-536526.8311295577,-143198.2920986094,209875.62024445707
2026-12-01,-37658.10167383414,-146173.45784167186,-386610.6290147348
