DEPLETION_PERIOD,BRANDS,LABELS,PRICING_STRATEGIES,SPIRIT_TYPES,ULTIMATE_DISTRIBUTORS,MARKETS,DIVISIONS,ACTUAL_VOLUME,Is_Holiday,MARKET_CLASS,LOG_ACTUAL_VOLUME
2025-01-01,jc especial,jce silver,jose cuervo especial silver,tequila,rndc,florida,rndc east,9251.678437,0,high,9.13277642032203
2025-01-01,jc especial,jce silver,jose cuervo especial silver,tequila,sgws,illinois,sgws-jb,12706.277449,0,high,9.450008827776196
2025-01-01,jc especial,jce silver,jose cuervo especial silver,tequila,eder bros,connecticut,independent,1580.528075,0,high,7.366778894777235
2025-01-01,jc especial,jce silver,jose cuervo especial silver,tequila,allan s. goodman,connecticut,independent,983.105733,0,high,6.8927489785584335
2025-01-01,jc especial,jce silver,jose cuervo especial silver,tequila,brescome barton,connecticut,independent,511.252879,0,high,6.240768665235478
2025-01-01,jc especial,jce gold,jose cuervo especial gold,tequila,rndc,florida,rndc east,10102.80897,0,high,9.220766725156308
2025-01-01,jc especial,jce gold,jose cuervo especial gold,tequila,sgws,illinois,sgws-jb,9292.535044,0,high,9.137181876741941
2025-01-01,jc especial,jce gold,jose cuervo especial gold,tequila,eder bros,connecticut,independent,1084.216921,0,high,6.990456223641807
2025-01-01,jc especial,jce gold,jose cuervo especial gold,tequila,allan s. goodman,connecticut,independent,498.105675,0,high,6.214819426090927
2025-01-01,jc especial,jce gold,jose cuervo especial gold,tequila,brescome barton,connecticut,independent,269.200075,0,high,5.602856832614875
2025-01-01,jc especial,jce cinge,jose cuervo especial cinge,tequila,brescome barton,connecticut,independent,0.0,0,low,0.6931471805599453
2025-01-01,jc especial,jce cinge,jose cuervo especial cinge,tequila,eder bros,connecticut,independent,0.0,0,low,0.6931471805599453
2025-01-01,jc especial,jce cinge,jose cuervo especial cinge,tequila,sgws,illinois,sgws-jb,0.0,0,low,0.6931471805599453
2025-01-01,jc especial,jce cinge,jose cuervo especial cinge,tequila,rndc,florida,rndc east,0.0,0,low,0.6931471805599453
2025-01-01,1800 tequila,1800 blanco,1800 tequila blanco,tequila,rndc,florida,rndc east,10480.592059,0,high,9.2574712611671
2025-01-01,1800 tequila,1800 blanco,1800 tequila blanco,tequila,sgws,illinois,sgws-jb,3879.28564,0,high,8.263921728248325
2025-01-01,1800 tequila,1800 blanco,1800 tequila blanco,tequila,brescome barton,connecticut,independent,125.283347,0,high,4.846415680038282
2025-01-01,1800 tequila,1800 blanco,1800 tequila blanco,tequila,eder bros,connecticut,independent,78.655578,0,high,4.3901879652297815
2025-01-01,1800 tequila,1800 blanco,1800 tequila blanco,tequila,allan s. goodman,connecticut,independent,67.91114,0,high,4.247225007070958
2025-01-01,1800 tequila,1800 reposado,1800 tequila reposado,tequila,rndc,florida,rndc east,3307.877812,0,high,8.104666552886115
2025-01-01,1800 tequila,1800 reposado,1800 tequila reposado,tequila,sgws,illinois,sgws-jb,2117.027496,0,high,7.658712534116156
2025-01-01,1800 tequila,1800 reposado,1800 tequila reposado,tequila,brescome barton,connecticut,independent,75.725041,0,high,4.353177483445482
2025-01-01,1800 tequila,1800 reposado,1800 tequila reposado,tequila,eder bros,connecticut,independent,20.027771,0,high,3.092303975486383
2025-01-01,1800 tequila,1800 reposado,1800 tequila reposado,tequila,allan s. goodman,connecticut,independent,28.227795,0,high,3.408761865343761
2025-01-01,1800 tequila,1800 coconut,1800 tequila coconut,tequila,rndc,florida,rndc east,1455.27786,0,high,7.284325494945001
2025-01-01,1800 tequila,1800 coconut,1800 tequila coconut,tequila,sgws,illinois,sgws-jb,484.744425,0,high,6.187739190668484
2025-01-01,1800 tequila,1800 coconut,1800 tequila coconut,tequila,brescome barton,connecticut,independent,32.250002,0,high,3.533686623102393
2025-01-01,1800 tequila,1800 coconut,1800 tequila coconut,tequila,allan s. goodman,connecticut,independent,23.902771,0,high,3.254349951399628
2025-01-01,1800 tequila,1800 coconut,1800 tequila coconut,tequila,eder bros,connecticut,independent,14.044452,0,medium,2.775363120036523
2025-01-01,1800 tequila,1800 cristalino,1800 tequila cristalino,tequila,sgws,illinois,sgws-jb,372.055609,0,high,5.924404473527466
2025-01-01,1800 tequila,1800 cristalino,1800 tequila cristalino,tequila,rndc,florida,rndc east,163.958467,0,high,5.111737558256422
2025-01-01,1800 tequila,1800 cristalino,1800 tequila cristalino,tequila,eder bros,connecticut,independent,7.13891,0,medium,2.212541122336989
2025-01-01,1800 tequila,1800 cristalino,1800 tequila cristalino,tequila,brescome barton,connecticut,independent,8.555571,0,medium,2.356653777421146
2025-01-01,1800 tequila,1800 cristalino,1800 tequila cristalino,tequila,allan s. goodman,connecticut,independent,2.569459,0,medium,1.5193948171545775
2025-01-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,sgws,illinois,sgws-jb,371.166723,0,high,5.922025298330938
2025-01-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,rndc,florida,rndc east,139.458386,0,high,4.952005581957005
2025-01-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,eder bros,connecticut,independent,2.583339,0,medium,1.5224277718073427
2025-01-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,brescome barton,connecticut,independent,3.750011,0,medium,1.7492017678509075
2025-01-01,1800 tequila,1800 anejo,1800 tequila anejo,tequila,allan s. goodman,connecticut,independent,3.416674,0,medium,1.6894819739528741
2025-01-01,1800 tequila,1800 cucumber jalapeno,1800 tequila flavors,tequila,rndc,florida,rndc east,0.0,0,low,0.6931471805599453
2025-01-01,1800 tequila,1800 cucumber jalapeno,1800 tequila flavors,tequila,sgws,illinois,sgws-jb,0.0,0,low,0.6931471805599453
2025-01-01,1800 tequila,1800 cucumber jalapeno,1800 tequila flavors,tequila,allan s. goodman,connecticut,independent,0.0,0,low,0.6931471805599453
2025-01-01,1800 tequila,1800 cucumber jalapeno,1800 tequila flavors,tequila,eder bros,connecticut,independent,0.0,0,low,0.6931471805599453
2025-01-01,1800 tequila,1800 cucumber jalapeno,1800 tequila flavors,tequila,brescome barton,connecticut,independent,0.0,0,low,0.6931471805599453
2025-01-01,1800 tequila,1800 combo,1800 tequila combo,tequila,sgws,illinois,sgws-jb,26.5,0,high,3.349904087274605
